q,rvnm,stcd,stnm,tm,wptn,z
22000,长江干流,60107300,宜昌,1782878400000,4,46.170
29200,长江干流,60107300,宜昌,1782914400000,5,47.740
25900,长江干流,60107300,宜昌,1782961200000,4,47.240
29800,长江干流,60107300,宜昌,1783000800000,5,48.000
23600,长江干流,60107300,宜昌,1783047600000,4,46.750
30000,长江干流,60107300,宜昌,1783087200000,5,48.000
24000,长江干流,60107300,宜昌,1783134000000,4,46.800
29700,长江干流,60107300,宜昌,1783170000000,5,47.900
23600,长江干流,60107300,宜昌,1783220400000,4,46.670
30100,长江干流,60107300,宜昌,1783256400000,5,47.960
20200,长江干流,60107300,宜昌,1783306800000,4,45.680
25000,长江干流,60107300,宜昌,1783350000000,4,46.770
16800,长江干流,60107300,宜昌,1783393200000,4,44.480
20600,长江干流,60107300,宜昌,1783432800000,4,45.340
15600,长江干流,60107300,宜昌,1783479600000,4,43.730
15800,长江干流,60107300,宜昌,1783519200000,5,43.690
