rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1782878400000,5,161.810
汉江,61802500,龙王庙,1782914400000,5,161.780
汉江,61802500,龙王庙,1782961200000,5,161.790
汉江,61802500,龙王庙,1783000800000,6,161.760
汉江,61802500,龙王庙,1783047600000,4,161.730
汉江,61802500,龙王庙,1783087200000,6,161.720
汉江,61802500,龙王庙,1783134000000,6,161.700
汉江,61802500,龙王庙,1783170000000,4,161.670
汉江,61802500,龙王庙,1783220400000,4,161.660
汉江,61802500,龙王庙,1783256400000,4,161.640
汉江,61802500,龙王庙,1783306800000,4,161.620
汉江,61802500,龙王庙,1783350000000,6,161.580
汉江,61802500,龙王庙,1783393200000,6,161.570
汉江,61802500,龙王庙,1783432800000,5,161.580
汉江,61802500,龙王庙,1783479600000,6,161.570
汉江,61802500,龙王庙,1783519200000,5,161.550
汉江,61802500,龙王庙,1783566000000,6,161.550
汉江,61802500,龙王庙,1783609200000,6,161.530
汉江,61802500,龙王庙,1783652400000,5,161.520
汉江,61802500,龙王庙,1783692000000,5,161.520
汉江,61802500,龙王庙,1783738800000,6,161.490
汉江,61802500,龙王庙,1783774800000,4,161.460
汉江,61802500,龙王庙,1783825200000,6,161.470
汉江,61802500,龙王庙,1783861200000,6,161.450
汉江,61802500,龙王庙,1783911600000,4,161.430
汉江,61802500,龙王庙,1783951200000,4,161.400
汉江,61802500,龙王庙,1783994400000,5,161.430
汉江,61802500,龙王庙,1784034000000,4,161.390
汉江,61802500,龙王庙,1784080800000,6,161.410
汉江,61802500,龙王庙,1784120400000,6,161.390
汉江,61802500,龙王庙,1784170800000,6,161.410
汉江,61802500,龙王庙,1784210400000,6,161.380
汉江,61802500,龙王庙,1784257200000,4,161.400
汉江,61802500,龙王庙,1784293200000,6,161.380
汉江,61802500,龙王庙,1784340000000,4,161.370
汉江,61802500,龙王庙,1784379600000,4,161.370
汉江,61802500,龙王庙,1784430000000,6,161.380
汉江,61802500,龙王庙,1784466000000,5,161.350
汉江,61802500,龙王庙,1784516400000,6,161.360
