q,rvnm,stcd,stnm,tm,wptn,z
22100,长江干流,60108300,沙市,1782878400000,5,38.030
22300,长江干流,60108300,沙市,1782914400000,5,38.080
23900,长江干流,60108300,沙市,1782961200000,5,38.530
23900,长江干流,60108300,沙市,1783000800000,5,38.640
24200,长江干流,60108300,沙市,1783047600000,6,38.850
23400,长江干流,60108300,沙市,1783087200000,5,38.660
24000,长江干流,60108300,沙市,1783134000000,4,38.800
23000,长江干流,60108300,沙市,1783170000000,5,38.590
23600,长江干流,60108300,沙市,1783220400000,4,38.740
22700,长江干流,60108300,沙市,1783256400000,5,38.520
22000,长江干流,60108300,沙市,1783306800000,4,38.430
20900,长江干流,60108300,沙市,1783350000000,5,38.000
19400,长江干流,60108300,沙市,1783393200000,4,37.780
