q,rvnm,stcd,stnm,tm,wptn,z
16600,洞庭湖湖口,61512000,七里山,1782878400000,5,30.070
16600,洞庭湖湖口,61512000,七里山,1782914400000,5,30.070
16700,洞庭湖湖口,61512000,七里山,1782961200000,4,30.110
16700,洞庭湖湖口,61512000,七里山,1783000800000,4,30.180
16700,洞庭湖湖口,61512000,七里山,1783047600000,4,30.260
16600,洞庭湖湖口,61512000,七里山,1783087200000,5,30.380
16600,洞庭湖湖口,61512000,七里山,1783134000000,5,30.490
16500,洞庭湖湖口,61512000,七里山,1783170000000,5,30.550
16500,洞庭湖湖口,61512000,七里山,1783220400000,5,30.660
16500,洞庭湖湖口,61512000,七里山,1783256400000,5,30.720
16700,洞庭湖湖口,61512000,七里山,1783306800000,4,30.750
16700,洞庭湖湖口,61512000,七里山,1783350000000,5,30.840
18800,洞庭湖湖口,61512000,七里山,1783393200000,5,30.970
18900,洞庭湖湖口,61512000,七里山,1783432800000,4,30.980
21100,洞庭湖湖口,61512000,七里山,1783479600000,5,31.050
21100,洞庭湖湖口,61512000,七里山,1783519200000,4,30.990
21100,洞庭湖湖口,61512000,七里山,1783566000000,4,30.950
20800,洞庭湖湖口,61512000,七里山,1783609200000,4,30.840
20700,洞庭湖湖口,61512000,七里山,1783652400000,6,30.730
20700,洞庭湖湖口,61512000,七里山,1783692000000,4,30.600
20600,洞庭湖湖口,61512000,七里山,1783738800000,4,30.470
19600,洞庭湖湖口,61512000,七里山,1783774800000,4,30.360
19500,洞庭湖湖口,61512000,七里山,1783825200000,6,30.230
19500,洞庭湖湖口,61512000,七里山,1783861200000,4,30.130
18700,洞庭湖湖口,61512000,七里山,1783911600000,4,29.970
