q,rvnm,stcd,stnm,tm,wptn,z
19700,长江干流,60105400,寸滩,1782878400000,4,168.700
18300,长江干流,60105400,寸滩,1782914400000,4,168.020
16400,长江干流,60105400,寸滩,1782961200000,4,167.040
16200,长江干流,60105400,寸滩,1783000800000,4,166.930
15300,长江干流,60105400,寸滩,1783047600000,5,166.450
15800,长江干流,60105400,寸滩,1783087200000,4,166.750
15600,长江干流,60105400,寸滩,1783134000000,5,166.610
16000,长江干流,60105400,寸滩,1783170000000,4,166.810
15000,长江干流,60105400,寸滩,1783220400000,4,166.280
14700,长江干流,60105400,寸滩,1783256400000,5,166.150
13500,长江干流,60105400,寸滩,1783306800000,4,165.520
13000,长江干流,60105400,寸滩,1783350000000,5,165.200
12600,长江干流,60105400,寸滩,1783393200000,4,165.000
12200,长江干流,60105400,寸滩,1783432800000,4,164.750
12300,长江干流,60105400,寸滩,1783479600000,4,164.790
12600,长江干流,60105400,寸滩,1783519200000,5,164.970
12100,长江干流,60105400,寸滩,1783566000000,4,164.660
11800,长江干流,60105400,寸滩,1783609200000,4,164.500
11800,长江干流,60105400,寸滩,1783652400000,6,164.510
11500,长江干流,60105400,寸滩,1783692000000,4,164.330
11000,长江干流,60105400,寸滩,1783738800000,4,164.040
10400,长江干流,60105400,寸滩,1783774800000,4,163.700
9530,长江干流,60105400,寸滩,1783825200000,4,163.150
9810,长江干流,60105400,寸滩,1783861200000,5,163.320
14300,长江干流,60105400,寸滩,1783911600000,5,165.470
15000,长江干流,60105400,寸滩,1783951200000,5,165.830
16800,长江干流,60105400,寸滩,1783994400000,4,166.940
15300,长江干流,60105400,寸滩,1784034000000,4,166.460
15400,长江干流,60105400,寸滩,1784080800000,4,166.510
14100,长江干流,60105400,寸滩,1784120400000,4,165.810
14200,长江干流,60105400,寸滩,1784170800000,4,165.910
13500,长江干流,60105400,寸滩,1784210400000,5,165.490
14100,长江干流,60105400,寸滩,1784257200000,4,165.860
15800,长江干流,60105400,寸滩,1784293200000,5,166.360
15400,长江干流,60105400,寸滩,1784340000000,5,166.170
17200,长江干流,60105400,寸滩,1784379600000,5,166.970
20200,长江干流,60105400,寸滩,1784430000000,6,168.860
18600,长江干流,60105400,寸滩,1784466000000,4,168.170
16100,长江干流,60105400,寸滩,1784516400000,4,166.880
14000,长江干流,60105400,寸滩,1784556000000,4,165.790
13500,长江干流,60105400,寸滩,1784602800000,4,165.520
13100,长江干流,60105400,寸滩,1784642400000,4,165.250
