q,rvnm,stcd,stnm,tm,wptn,z
10300,长江干流,60105400,寸滩,1780243200000,4,163.910
10100,长江干流,60105400,寸滩,1780246800000,4,163.890
10000,长江干流,60105400,寸滩,1780250400000,4,163.840
9950,长江干流,60105400,寸滩,1780254000000,4,163.830
9880,长江干流,60105400,寸滩,1780257600000,4,163.790
9810,长江干流,60105400,寸滩,1780261200000,4,163.770
9690,长江干流,60105400,寸滩,1780268400000,4,163.690
9590,长江干流,60105400,寸滩,1780272000000,4,163.640
8550,长江干流,60105400,寸滩,1780290000000,4,163.310
9180,长江干流,60105400,寸滩,1780308000000,4,162.930
8370,长江干流,60105400,寸滩,1780329600000,4,162.410
8620,长江干流,60105400,寸滩,1780344000000,5,162.570
8880,长江干流,60105400,寸滩,1780351200000,5,162.740
9060,长江干流,60105400,寸滩,1780354800000,5,162.850
9420,长江干流,60105400,寸滩,1780369200000,5,163.080
9210,长江干流,60105400,寸滩,1780387200000,4,162.950
8760,长江干流,60105400,寸滩,1780401600000,4,162.660
8950,长江干流,60105400,寸滩,1780416000000,5,162.780
8960,长江干流,60105400,寸滩,1780426800000,4,162.790
8900,长江干流,60105400,寸滩,1780437600000,4,162.750
8850,长江干流,60105400,寸滩,1780441200000,4,162.720
8620,长江干流,60105400,寸滩,1780459200000,4,162.570
8480,长江干流,60105400,寸滩,1780473600000,4,162.480
8490,长江干流,60105400,寸滩,1780502400000,5,162.490
10300,长江干流,60105400,寸滩,1780545600000,5,163.650
9740,长江干流,60105400,寸滩,1780585200000,4,163.280
10500,长江干流,60105400,寸滩,1780632000000,4,163.730
9550,长江干流,60105400,寸滩,1780671600000,5,163.160
9760,长江干流,60105400,寸滩,1780714800000,5,163.290
9780,长江干流,60105400,寸滩,1780750800000,4,163.300
9890,长江干流,60105400,寸滩,1780804800000,4,163.370
12400,长江干流,60105400,寸滩,1780837200000,5,164.210
14300,长江干流,60105400,寸滩,1780891200000,4,165.810
13900,长江干流,60105400,寸滩,1780934400000,6,165.700
13100,长江干流,60105400,寸滩,1780974000000,4,165.240
13600,长江干流,60105400,寸滩,1781017200000,5,165.560
13800,长江干流,60105400,寸滩,1781064000000,5,165.670
13800,长江干流,60105400,寸滩,1781103600000,4,165.660
12500,长江干流,60105400,寸滩,1781150400000,4,164.930
11300,长江干流,60105400,寸滩,1781193600000,4,164.240
11700,长江干流,60105400,寸滩,1781236800000,5,164.460
11300,长江干流,60105400,寸滩,1781276400000,4,164.220
10900,长江干流,60105400,寸滩,1781323200000,6,164.010
11300,长江干流,60105400,寸滩,1781359200000,6,164.240
