rvnm,stcd,stnm,tm,wptn,z
长江,60107000,茅坪(二),1780243200000,5,154.260
长江,60107000,茅坪(二),1780246800000,5,154.270
长江,60107000,茅坪(二),1780250400000,4,154.240
长江,60107000,茅坪(二),1780254000000,6,154.240
长江,60107000,茅坪(二),1780257600000,4,154.220
长江,60107000,茅坪(二),1780261200000,6,154.200
长江,60107000,茅坪(二),1780264800000,4,154.190
长江,60107000,茅坪(二),1780268400000,4,154.100
长江,60107000,茅坪(二),1780286400000,5,154.120
长江,60107000,茅坪(二),1780304400000,6,153.860
长江,60107000,茅坪(二),1780326000000,5,153.400
长江,60107000,茅坪(二),1780344000000,4,153.340
长江,60107000,茅坪(二),1780351200000,4,153.270
长江,60107000,茅坪(二),1780354800000,4,153.180
长江,60107000,茅坪(二),1780369200000,5,153.180
长江,60107000,茅坪(二),1780380000000,6,153.210
长江,60107000,茅坪(二),1780401600000,4,152.450
长江,60107000,茅坪(二),1780416000000,6,152.340
长江,60107000,茅坪(二),1780426800000,4,152.290
长江,60107000,茅坪(二),1780437600000,4,152.190
长江,60107000,茅坪(二),1780441200000,4,152.050
长江,60107000,茅坪(二),1780459200000,5,152.130
长江,60107000,茅坪(二),1780473600000,4,151.870
长江,60107000,茅坪(二),1780502400000,4,151.170
长江,60107000,茅坪(二),1780545600000,5,151.030
长江,60107000,茅坪(二),1780585200000,5,150.200
长江,60107000,茅坪(二),1780628400000,5,150.110
长江,60107000,茅坪(二),1780671600000,5,149.340
长江,60107000,茅坪(二),1780714800000,5,149.390
长江,60107000,茅坪(二),1780750800000,4,148.600
长江,60107000,茅坪(二),1780804800000,5,148.590
长江,60107000,茅坪(二),1780837200000,4,147.780
长江,60107000,茅坪(二),1780891200000,5,148.550
长江,60107000,茅坪(二),1780930800000,5,148.530
长江,60107000,茅坪(二),1780974000000,5,149.470
长江,60107000,茅坪(二),1781013600000,5,149.210
长江,60107000,茅坪(二),1781064000000,5,150.310
长江,60107000,茅坪(二),1781103600000,5,150.230
长江,60107000,茅坪(二),1781150400000,5,151.060
长江,60107000,茅坪(二),1781190000000,5,150.900
长江,60107000,茅坪(二),1781236800000,5,151.470
长江,60107000,茅坪(二),1781276400000,5,151.500
长江,60107000,茅坪(二),1781319600000,5,151.800
长江,60107000,茅坪(二),1781355600000,4,151.620
长江,60107000,茅坪(二),1781409600000,6,151.760
长江,60107000,茅坪(二),1781442000000,4,151.510
长江,60107000,茅坪(二),1781496000000,4,151.340
长江,60107000,茅坪(二),1781539200000,5,150.940
