rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1780243200000,5,30.510
长江干流,60111200,莲花塘,1780246800000,5,30.540
长江干流,60111200,莲花塘,1780250400000,4,30.490
长江干流,60111200,莲花塘,1780254000000,4,30.420
长江干流,60111200,莲花塘,1780257600000,5,30.500
长江干流,60111200,莲花塘,1780261200000,4,30.490
长江干流,60111200,莲花塘,1780268400000,4,30.420
长江干流,60111200,莲花塘,1780272000000,5,30.480
长江干流,60111200,莲花塘,1780290000000,4,30.420
长江干流,60111200,莲花塘,1780308000000,5,30.430
长江干流,60111200,莲花塘,1780329600000,4,30.340
长江干流,60111200,莲花塘,1780344000000,6,30.350
长江干流,60111200,莲花塘,1780351200000,5,30.320
长江干流,60111200,莲花塘,1780354800000,4,30.290
长江干流,60111200,莲花塘,1780369200000,5,30.310
长江干流,60111200,莲花塘,1780387200000,5,30.250
长江干流,60111200,莲花塘,1780401600000,5,30.260
长江干流,60111200,莲花塘,1780416000000,4,30.180
长江干流,60111200,莲花塘,1780426800000,4,30.170
长江干流,60111200,莲花塘,1780437600000,5,30.170
长江干流,60111200,莲花塘,1780441200000,4,30.130
长江干流,60111200,莲花塘,1780459200000,4,30.100
长江干流,60111200,莲花塘,1780473600000,5,30.120
长江干流,60111200,莲花塘,1780502400000,5,30.060
长江干流,60111200,莲花塘,1780545600000,4,29.930
长江干流,60111200,莲花塘,1780585200000,4,29.900
长江干流,60111200,莲花塘,1780632000000,5,29.880
长江干流,60111200,莲花塘,1780671600000,5,29.870
长江干流,60111200,莲花塘,1780714800000,4,29.810
长江干流,60111200,莲花塘,1780750800000,4,29.750
长江干流,60111200,莲花塘,1780804800000,5,29.660
长江干流,60111200,莲花塘,1780837200000,4,29.540
长江干流,60111200,莲花塘,1780891200000,4,29.520
长江干流,60111200,莲花塘,1780934400000,5,29.510
长江干流,60111200,莲花塘,1780974000000,5,29.480
长江干流,60111200,莲花塘,1781017200000,5,29.450
长江干流,60111200,莲花塘,1781064000000,5,29.420
长江干流,60111200,莲花塘,1781103600000,5,29.390
长江干流,60111200,莲花塘,1781150400000,5,29.310
长江干流,60111200,莲花塘,1781193600000,5,29.180
长江干流,60111200,莲花塘,1781236800000,4,29.060
长江干流,60111200,莲花塘,1781276400000,4,28.950
长江干流,60111200,莲花塘,1781323200000,4,28.840
长江干流,60111200,莲花塘,1781359200000,4,28.780
长江干流,60111200,莲花塘,1781409600000,6,28.700
长江干流,60111200,莲花塘,1781445600000,4,28.650
长江干流,60111200,莲花塘,1781496000000,5,28.630
长江干流,60111200,莲花塘,1781542800000,6,28.560
长江干流,60111200,莲花塘,1781582400000,4,28.520
长江干流,60111200,莲花塘,1781629200000,4,28.430
长江干流,60111200,莲花塘,1781668800000,6,28.420
长江干流,60111200,莲花塘,1781708400000,5,28.400
长江干流,60111200,莲花塘,1781755200000,4,28.380
长江干流,60111200,莲花塘,1781794800000,4,28.390
长江干流,60111200,莲花塘,1781841600000,6,28.420
长江干流,60111200,莲花塘,1781881200000,5,28.490
长江干流,60111200,莲花塘,1781928000000,4,28.520
长江干流,60111200,莲花塘,1781964000000,6,28.570
长江干流,60111200,莲花塘,1782014400000,6,28.670
长江干流,60111200,莲花塘,1782050400000,6,28.760
