rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1780239600000,6,161.800
汉江,61802500,龙王庙,1780250400000,5,161.820
汉江,61802500,龙王庙,1780254000000,4,161.810
汉江,61802500,龙王庙,1780257600000,6,161.810
汉江,61802500,龙王庙,1780261200000,6,161.810
汉江,61802500,龙王庙,1780264800000,6,161.810
汉江,61802500,龙王庙,1780268400000,5,161.820
汉江,61802500,龙王庙,1780286400000,6,161.840
汉江,61802500,龙王庙,1780308000000,4,161.820
汉江,61802500,龙王庙,1780329600000,6,161.830
汉江,61802500,龙王庙,1780344000000,6,161.850
汉江,61802500,龙王庙,1780351200000,4,161.840
汉江,61802500,龙王庙,1780354800000,6,161.840
汉江,61802500,龙王庙,1780369200000,4,161.840
汉江,61802500,龙王庙,1780383600000,4,161.830
汉江,61802500,龙王庙,1780416000000,5,161.850
汉江,61802500,龙王庙,1780426800000,5,161.860
汉江,61802500,龙王庙,1780437600000,4,161.840
汉江,61802500,龙王庙,1780441200000,5,161.860
汉江,61802500,龙王庙,1780459200000,5,161.850
汉江,61802500,龙王庙,1780473600000,4,161.840
汉江,61802500,龙王庙,1780502400000,6,161.850
汉江,61802500,龙王庙,1780545600000,4,161.830
汉江,61802500,龙王庙,1780585200000,5,161.850
汉江,61802500,龙王庙,1780632000000,6,161.840
汉江,61802500,龙王庙,1780671600000,6,161.850
汉江,61802500,龙王庙,1780714800000,6,161.830
汉江,61802500,龙王庙,1780750800000,4,161.800
汉江,61802500,龙王庙,1780804800000,4,161.820
汉江,61802500,龙王庙,1780837200000,4,161.840
汉江,61802500,龙王庙,1780891200000,6,161.840
汉江,61802500,龙王庙,1780934400000,6,161.850
汉江,61802500,龙王庙,1780974000000,6,161.850
汉江,61802500,龙王庙,1781017200000,5,161.850
汉江,61802500,龙王庙,1781064000000,4,161.850
汉江,61802500,龙王庙,1781103600000,6,161.850
汉江,61802500,龙王庙,1781150400000,6,161.830
汉江,61802500,龙王庙,1781193600000,5,161.840
汉江,61802500,龙王庙,1781236800000,4,161.820
汉江,61802500,龙王庙,1781276400000,6,161.830
汉江,61802500,龙王庙,1781323200000,6,161.810
汉江,61802500,龙王庙,1781359200000,5,161.810
汉江,61802500,龙王庙,1781409600000,6,161.780
汉江,61802500,龙王庙,1781445600000,6,161.760
汉江,61802500,龙王庙,1781496000000,6,161.760
汉江,61802500,龙王庙,1781542800000,4,161.750
汉江,61802500,龙王庙,1781582400000,6,161.730
汉江,61802500,龙王庙,1781629200000,4,161.730
汉江,61802500,龙王庙,1781668800000,6,161.710
汉江,61802500,龙王庙,1781708400000,6,161.710
汉江,61802500,龙王庙,1781755200000,5,161.710
汉江,61802500,龙王庙,1781794800000,4,161.770
汉江,61802500,龙王庙,1781841600000,6,161.780
汉江,61802500,龙王庙,1781881200000,6,161.770
汉江,61802500,龙王庙,1781928000000,6,161.810
汉江,61802500,龙王庙,1781964000000,5,161.850
汉江,61802500,龙王庙,1782014400000,6,161.890
汉江,61802500,龙王庙,1782050400000,6,161.920
汉江,61802500,龙王庙,1782100800000,5,161.970
汉江,61802500,龙王庙,1782147600000,4,161.970
汉江,61802500,龙王庙,1782183600000,6,161.940
汉江,61802500,龙王庙,1782226800000,5,161.940
汉江,61802500,龙王庙,1782273600000,5,161.930
汉江,61802500,龙王庙,1782309600000,5,161.940
汉江,61802500,龙王庙,1782360000000,5,161.940
汉江,61802500,龙王庙,1782396000000,4,161.900
