oq,rvnm,stcd,stnm,tm,wptn,z
1180,汉江,61802700,丹江口水库,1780243200000,6,161.800
1660,汉江,61802700,丹江口水库,1780246800000,6,161.800
1670,2500,汉江,61802700,丹江口水库,1780250400000,5,161.820
1670,汉江,61802700,丹江口水库,1780254000000,4,161.810
1670,汉江,61802700,丹江口水库,1780257600000,6,161.810
1670,汉江,61802700,丹江口水库,1780261200000,6,161.810
1740,汉江,61802700,丹江口水库,1780264800000,6,161.810
1100,汉江,61802700,丹江口水库,1780268400000,5,161.820
1250,汉江,61802700,丹江口水库,1780286400000,6,161.840
1780,汉江,61802700,丹江口水库,1780308000000,4,161.820
1260,汉江,61802700,丹江口水库,1780329600000,6,161.830
1780,汉江,61802700,丹江口水库,1780344000000,6,161.850
1780,汉江,61802700,丹江口水库,1780351200000,4,161.840
1520,汉江,61802700,丹江口水库,1780354800000,6,161.840
967,汉江,61802700,丹江口水库,1780369200000,4,161.840
1770,汉江,61802700,丹江口水库,1780387200000,6,161.830
1790,1360,汉江,61802700,丹江口水库,1780401600000,6,161.830
1260,汉江,61802700,丹江口水库,1780416000000,5,161.850
1220,汉江,61802700,丹江口水库,1780426800000,5,161.860
1780,汉江,61802700,丹江口水库,1780437600000,4,161.840
735,汉江,61802700,丹江口水库,1780441200000,5,161.860
1770,汉江,61802700,丹江口水库,1780459200000,5,161.850
1670,汉江,61802700,丹江口水库,1780473600000,4,161.840
1240,汉江,61802700,丹江口水库,1780502400000,6,161.850
686,汉江,61802700,丹江口水库,1780545600000,4,161.830
1710,汉江,61802700,丹江口水库,1780585200000,5,161.850
1680,汉江,61802700,丹江口水库,1780628400000,6,161.840
1700,汉江,61802700,丹江口水库,1780671600000,6,161.850
746,汉江,61802700,丹江口水库,1780714800000,6,161.830
1780,汉江,61802700,丹江口水库,1780750800000,4,161.800
819,汉江,61802700,丹江口水库,1780804800000,4,161.820
1390,汉江,61802700,丹江口水库,1780837200000,4,161.840
1130,汉江,61802700,丹江口水库,1780891200000,6,161.840
1730,汉江,61802700,丹江口水库,1780930800000,5,161.850
851,汉江,61802700,丹江口水库,1780974000000,6,161.850
1390,汉江,61802700,丹江口水库,1781017200000,5,161.850
672,汉江,61802700,丹江口水库,1781060400000,5,161.860
1720,汉江,61802700,丹江口水库,1781103600000,6,161.850
705,汉江,61802700,丹江口水库,1781150400000,6,161.830
1750,汉江,61802700,丹江口水库,1781190000000,4,161.830
1210,汉江,61802700,丹江口水库,1781236800000,4,161.820
1730,汉江,61802700,丹江口水库,1781276400000,6,161.830
934,汉江,61802700,丹江口水库,1781323200000,6,161.810
1750,汉江,61802700,丹江口水库,1781355600000,6,161.800
1510,汉江,61802700,丹江口水库,1781409600000,6,161.780
1750,汉江,61802700,丹江口水库,1781442000000,6,161.760
705,汉江,61802700,丹江口水库,1781496000000,6,161.760
1210,汉江,61802700,丹江口水库,1781542800000,4,161.750
823,汉江,61802700,丹江口水库,1781582400000,6,161.730
803,汉江,61802700,丹江口水库,1781625600000,5,161.740
758,汉江,61802700,丹江口水库,1781668800000,6,161.710
540,汉江,61802700,丹江口水库,1781708400000,6,161.710
852,汉江,61802700,丹江口水库,1781755200000,5,161.710
632,汉江,61802700,丹江口水库,1781794800000,4,161.770
625,汉江,61802700,丹江口水库,1781841600000,6,161.780
1410,汉江,61802700,丹江口水库,1781881200000,6,161.770
634,汉江,61802700,丹江口水库,1781924400000,6,161.810
663,汉江,61802700,丹江口水库,1781964000000,5,161.850
648,汉江,61802700,丹江口水库,1782014400000,6,161.890
775,汉江,61802700,丹江口水库,1782050400000,6,161.920
1060,汉江,61802700,丹江口水库,1782100800000,5,161.970
633,汉江,61802700,丹江口水库,1782144000000,6,161.980
1630,汉江,61802700,丹江口水库,1782183600000,6,161.940
1030,汉江,61802700,丹江口水库,1782223200000,4,161.930
1710,汉江,61802700,丹江口水库,1782270000000,4,161.920
644,汉江,61802700,丹江口水库,1782309600000,5,161.940
1190,汉江,61802700,丹江口水库,1782356400000,4,161.930
673,汉江,61802700,丹江口水库,1782396000000,4,161.900
628,汉江,61802700,丹江口水库,1782442800000,4,161.900
1720,汉江,61802700,丹江口水库,1782482400000,6,161.880
