rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1785553200000,5,26.820
长江干流,60111200,莲花塘,1785589200000,6,26.780
长江干流,60111200,莲花塘,1785639600000,4,26.740
长江干流,60111200,莲花塘,1785675600000,4,26.740
长江干流,60111200,莲花塘,1785726000000,4,26.720
长江干流,60111200,莲花塘,1785765600000,6,26.730
长江干流,60111200,莲花塘,1785808800000,5,26.730
长江干流,60111200,莲花塘,1785852000000,5,26.750
长江干流,60111200,莲花塘,1785895200000,5,26.780
长江干流,60111200,莲花塘,1785938400000,6,26.810
长江干流,60111200,莲花塘,1785981600000,6,26.870
长江干流,60111200,莲花塘,1786024800000,4,26.910
长江干流,60111200,莲花塘,1786068000000,5,27.000
长江干流,60111200,莲花塘,1786107600000,6,27.050
长江干流,60111200,莲花塘,1786150800000,6,27.020
长江干流,60111200,莲花塘,1786190400000,4,27.010
长江干流,60111200,莲花塘,1786240800000,5,26.960
长江干流,60111200,莲花塘,1786276800000,6,26.900
长江干流,60111200,莲花塘,1786327200000,4,26.850
长江干流,60111200,莲花塘,1786366800000,6,26.780
长江干流,60111200,莲花塘,1786413600000,4,26.730
长江干流,60111200,莲花塘,1786453200000,6,26.670
长江干流,60111200,莲花塘,1786500000000,6,26.560
