q,rvnm,stcd,stnm,tm,wptn,z
7770,鄱阳湖,62601600,湖口,1785553200000,6,15.010
7290,鄱阳湖,62601600,湖口,1785589200000,4,14.920
7290,鄱阳湖,62601600,湖口,1785639600000,6,14.830
6890,鄱阳湖,62601600,湖口,1785675600000,4,14.740
7610,鄱阳湖,62601600,湖口,1785726000000,4,14.630
6790,鄱阳湖,62601600,湖口,1785765600000,4,14.570
6360,鄱阳湖,62601600,湖口,1785808800000,6,14.480
6000,鄱阳湖,62601600,湖口,1785852000000,4,14.400
5910,鄱阳湖,62601600,湖口,1785895200000,6,14.320
5450,鄱阳湖,62601600,湖口,1785938400000,4,14.230
4870,鄱阳湖,62601600,湖口,1785981600000,5,14.130
4490,鄱阳湖,62601600,湖口,1786024800000,4,14.060
4900,鄱阳湖,62601600,湖口,1786068000000,6,13.970
4170,鄱阳湖,62601600,湖口,1786107600000,6,13.890
3690,鄱阳湖,62601600,湖口,1786150800000,4,13.830
3010,鄱阳湖,62601600,湖口,1786190400000,6,13.780
2100,鄱阳湖,62601600,湖口,1786240800000,4,13.690
1850,鄱阳湖,62601600,湖口,1786276800000,5,13.610
1950,鄱阳湖,62601600,湖口,1786327200000,4,13.580
3950,鄱阳湖,62601600,湖口,1786366800000,5,13.780
3740,鄱阳湖,62601600,湖口,1786413600000,6,13.870
3540,鄱阳湖,62601600,湖口,1786453200000,6,13.880
3670,鄱阳湖,62601600,湖口,1786500000000,6,13.890
2200,鄱阳湖,62601600,湖口,1786539600000,4,13.880
2590,鄱阳湖,62601600,湖口,1786586400000,6,13.880
1420,鄱阳湖,62601600,湖口,1786626000000,4,13.850
1760,鄱阳湖,62601600,湖口,1786672800000,6,13.870
1350,鄱阳湖,62601600,湖口,1786712400000,5,13.920
2060,鄱阳湖,62601600,湖口,1786755600000,6,13.990
1510,鄱阳湖,62601600,湖口,1786795200000,5,14.040
1580,鄱阳湖,62601600,湖口,1786842000000,5,14.150
1070,鄱阳湖,62601600,湖口,1786881600000,5,14.220
993,鄱阳湖,62601600,湖口,1786928400000,6,14.280
1340,鄱阳湖,62601600,湖口,1786968000000,6,14.300
2410,鄱阳湖,62601600,湖口,1787014800000,5,14.340
4540,鄱阳湖,62601600,湖口,1787054400000,6,14.340
5250,鄱阳湖,62601600,湖口,1787101200000,4,14.290
5600,鄱阳湖,62601600,湖口,1787140800000,4,14.230
6540,鄱阳湖,62601600,湖口,1787187600000,6,14.190
6470,鄱阳湖,62601600,湖口,1787227200000,4,14.100
7020,鄱阳湖,62601600,湖口,1787274000000,6,14.030
6230,鄱阳湖,62601600,湖口,1787313600000,4,13.960
6250,鄱阳湖,62601600,湖口,1787360400000,6,13.860
5920,鄱阳湖,62601600,湖口,1787400000000,4,13.780
6020,鄱阳湖,62601600,湖口,1787446800000,4,13.710
5980,鄱阳湖,62601600,湖口,1787486400000,6,13.670
