oq,rvnm,stcd,stnm,tm,wptn,z
16700,长江干流,60106980,三峡水库,1785553200000,5,150.620
25500,长江干流,60106980,三峡水库,1785589200000,4,149.760
16700,长江干流,60106980,三峡水库,1785639600000,5,150.340
25300,长江干流,60106980,三峡水库,1785675600000,4,149.850
16400,长江干流,60106980,三峡水库,1785726000000,5,151.010
23300,长江干流,60106980,三峡水库,1785765600000,5,150.880
16800,长江干流,60106980,三峡水库,1785808800000,5,152.610
22300,长江干流,60106980,三峡水库,1785852000000,5,153.280
16300,长江干流,60106980,三峡水库,1785895200000,5,155.010
21600,长江干流,60106980,三峡水库,1785938400000,5,155.270
15900,长江干流,60106980,三峡水库,1785981600000,5,156.480
21300,长江干流,60106980,三峡水库,1786024800000,5,156.230
13700,长江干流,60106980,三峡水库,1786068000000,4,157.130
23900,19000,长江干流,60106980,三峡水库,1786104000000,4,156.810
11900,长江干流,60106980,三峡水库,1786150800000,5,157.650
20000,16300,长江干流,60106980,三峡水库,1786190400000,4,157.410
12300,长江干流,60106980,三峡水库,1786237200000,5,157.940
19100,16500,长江干流,60106980,三峡水库,1786276800000,4,157.770
12400,长江干流,60106980,三峡水库,1786323600000,6,158.270
17700,长江干流,60106980,三峡水库,1786366800000,5,158.130
16000,长江干流,60106980,三峡水库,1786410000000,4,158.280
17900,长江干流,60106980,三峡水库,1786453200000,6,158.030
14100,长江干流,60106980,三峡水库,1786500000000,5,158.090
21600,长江干流,60106980,三峡水库,1786539600000,4,157.570
14200,长江干流,60106980,三峡水库,1786586400000,5,157.650
21700,长江干流,60106980,三峡水库,1786626000000,4,157.140
13400,长江干流,60106980,三峡水库,1786672800000,5,157.230
21100,长江干流,60106980,三峡水库,1786712400000,4,156.780
13300,长江干流,60106980,三峡水库,1786755600000,4,157.050
17600,12500,长江干流,60106980,三峡水库,1786795200000,4,156.930
13400,长江干流,60106980,三峡水库,1786842000000,4,157.000
17500,11500,长江干流,60106980,三峡水库,1786881600000,4,156.870
13400,长江干流,60106980,三峡水库,1786928400000,6,156.920
17600,11900,长江干流,60106980,三峡水库,1786968000000,4,156.740
13400,长江干流,60106980,三峡水库,1787014800000,5,156.800
17400,12000,长江干流,60106980,三峡水库,1787054400000,4,156.520
14500,长江干流,60106980,三峡水库,1787101200000,5,156.430
18900,16000,长江干流,60106980,三峡水库,1787140800000,4,156.300
15200,长江干流,60106980,三峡水库,1787187600000,5,156.490
19500,23000,长江干流,60106980,三峡水库,1787227200000,4,156.620
17700,长江干流,60106980,三峡水库,1787274000000,5,157.080
22100,22000,长江干流,60106980,三峡水库,1787313600000,4,157.230
17000,长江干流,60106980,三峡水库,1787360400000,5,157.620
21400,16400,长江干流,60106980,三峡水库,1787400000000,4,157.440
17100,长江干流,60106980,三峡水库,1787446800000,6,157.480
21600,14700,长江干流,60106980,三峡水库,1787486400000,4,157.110
13500,长江干流,60106980,三峡水库,1787533200000,5,157.360
18300,14200,长江干流,60106980,三峡水库,1787572800000,4,157.140
13500,长江干流,60106980,三峡水库,1787619600000,5,157.310
18300,14200,长江干流,60106980,三峡水库,1787659200000,4,157.140
13500,长江干流,60106980,三峡水库,1787706000000,5,157.420
18400,14200,长江干流,60106980,三峡水库,1787745600000,4,157.250
15600,长江干流,60106980,三峡水库,1787817600000,4,157.430
13700,长江干流,60106980,三峡水库,1787864400000,6,157.360
18100,长江干流,60106980,三峡水库,1787911200000,4,157.140
12900,长江干流,60106980,三峡水库,1787950800000,5,157.230
11900,14200,长江干流,60106980,三峡水库,1787983200000,4,157.420
