q,rvnm,stcd,stnm,tm,wptn,z
16400,长江干流,60108300,沙市,1785553200000,4,35.320
16400,长江干流,60108300,沙市,1785589200000,5,35.290
17700,长江干流,60108300,沙市,1785639600000,4,35.830
16900,长江干流,60108300,沙市,1785675600000,6,35.630
17800,长江干流,60108300,沙市,1785726000000,4,35.980
17200,长江干流,60108300,沙市,1785765600000,6,35.750
18500,长江干流,60108300,沙市,1785808800000,4,36.160
18400,长江干流,60108300,沙市,1785852000000,5,36.040
19400,长江干流,60108300,沙市,1785895200000,4,36.510
18300,长江干流,60108300,沙市,1785938400000,5,36.190
19000,长江干流,60108300,沙市,1785981600000,4,36.460
17700,长江干流,60108300,沙市,1786024800000,6,36.020
17800,长江干流,60108300,沙市,1786068000000,4,36.130
16100,长江干流,60108300,沙市,1786107600000,4,35.520
17000,长江干流,60108300,沙市,1786150800000,4,35.730
15000,长江干流,60108300,沙市,1786190400000,4,35.150
14700,长江干流,60108300,沙市,1786240800000,4,34.870
13900,长江干流,60108300,沙市,1786276800000,4,34.580
13700,长江干流,60108300,沙市,1786327200000,4,34.400
13700,长江干流,60108300,沙市,1786366800000,4,34.240
13900,长江干流,60108300,沙市,1786413600000,6,34.340
13900,长江干流,60108300,沙市,1786453200000,5,34.310
14200,长江干流,60108300,沙市,1786500000000,5,34.410
14500,长江干流,60108300,沙市,1786539600000,5,34.460
15700,长江干流,60108300,沙市,1786586400000,6,34.930
15100,长江干流,60108300,沙市,1786626000000,4,34.860
16100,长江干流,60108300,沙市,1786672800000,4,35.190
15000,长江干流,60108300,沙市,1786712400000,4,34.910
15600,长江干流,60108300,沙市,1786755600000,4,35.070
13900,长江干流,60108300,沙市,1786795200000,4,34.570
13500,长江干流,60108300,沙市,1786842000000,4,34.260
12800,长江干流,60108300,沙市,1786881600000,4,33.910
13100,长江干流,60108300,沙市,1786928400000,4,33.890
12600,长江干流,60108300,沙市,1786968000000,4,33.660
13200,长江干流,60108300,沙市,1787014800000,6,33.730
13200,长江干流,60108300,沙市,1787054400000,6,33.760
13900,长江干流,60108300,沙市,1787101200000,5,33.990
13800,长江干流,60108300,沙市,1787140800000,5,33.990
15000,长江干流,60108300,沙市,1787187600000,5,34.380
14700,长江干流,60108300,沙市,1787227200000,6,34.430
15900,长江干流,60108300,沙市,1787274000000,5,34.780
16100,长江干流,60108300,沙市,1787313600000,5,34.960
