q,rvnm,stcd,stnm,tm,wptn,z
17400,长江干流,60105400,寸滩,1785553200000,5,167.080
18900,长江干流,60105400,寸滩,1785589200000,5,167.870
23600,长江干流,60105400,寸滩,1785639600000,5,169.900
24700,长江干流,60105400,寸滩,1785675600000,5,170.380
26900,长江干流,60105400,寸滩,1785726000000,5,171.290
28500,长江干流,60105400,寸滩,1785765600000,5,172.000
28500,长江干流,60105400,寸滩,1785808800000,4,172.490
26800,长江干流,60105400,寸滩,1785852000000,4,171.770
26200,长江干流,60105400,寸滩,1785895200000,4,171.480
21100,长江干流,60105400,寸滩,1785938400000,4,169.820
18600,长江干流,60105400,寸滩,1785981600000,4,168.500
17200,长江干流,60105400,寸滩,1786024800000,4,167.660
16500,长江干流,60105400,寸滩,1786068000000,4,167.260
15200,长江干流,60105400,寸滩,1786107600000,4,166.620
14700,长江干流,60105400,寸滩,1786150800000,4,166.330
14500,长江干流,60105400,寸滩,1786190400000,5,166.170
15100,长江干流,60105400,寸滩,1786240800000,5,166.580
14500,长江干流,60105400,寸滩,1786276800000,4,166.210
14200,长江干流,60105400,寸滩,1786327200000,4,165.970
13400,长江干流,60105400,寸滩,1786366800000,4,165.520
12900,长江干流,60105400,寸滩,1786413600000,4,165.200
12200,长江干流,60105400,寸滩,1786453200000,4,165.230
12000,长江干流,60105400,寸滩,1786500000000,5,165.110
11400,长江干流,60105400,寸滩,1786539600000,5,164.780
11600,长江干流,60105400,寸滩,1786586400000,6,164.860
10700,长江干流,60105400,寸滩,1786626000000,4,164.360
12000,长江干流,60105400,寸滩,1786672800000,5,165.100
10600,长江干流,60105400,寸滩,1786712400000,4,164.310
11400,长江干流,60105400,寸滩,1786755600000,5,164.770
10100,长江干流,60105400,寸滩,1786795200000,4,164.020
10900,长江干流,60105400,寸滩,1786842000000,4,164.490
9680,长江干流,60105400,寸滩,1786881600000,4,163.720
10500,长江干流,60105400,寸滩,1786928400000,4,164.240
9890,长江干流,60105400,寸滩,1786968000000,6,163.860
10600,长江干流,60105400,寸滩,1787014800000,4,164.310
10400,长江干流,60105400,寸滩,1787054400000,5,164.160
14100,长江干流,60105400,寸滩,1787101200000,5,165.830
16300,长江干流,60105400,寸滩,1787140800000,5,167.010
19900,长江干流,60105400,寸滩,1787187600000,5,168.770
23700,长江干流,60105400,寸滩,1787227200000,5,170.430
20700,长江干流,60105400,寸滩,1787274420000,4,169.770
18100,长江干流,60105400,寸滩,1787313600000,4,168.370
16000,长江干流,60105400,寸滩,1787360400000,4,167.550
14200,长江干流,60105400,寸滩,1787400000000,4,166.410
13600,长江干流,60105400,寸滩,1787446800000,4,165.960
13400,长江干流,60105400,寸滩,1787486400000,4,165.850
13000,长江干流,60105400,寸滩,1787533200000,4,165.620
12500,长江干流,60105400,寸滩,1787572800000,5,165.300
