q,rvnm,stcd,stnm,tm,wptn,z
1760,乌江,60803000,武隆,1785553200000,5,173.450
1200,乌江,60803000,武隆,1785589200000,4,171.720
1250,乌江,60803000,武隆,1785639600000,4,171.860
1210,乌江,60803000,武隆,1785675600000,5,171.730
2560,乌江,60803000,武隆,1785726000000,5,175.790
1830,乌江,60803000,武隆,1785765600000,4,173.670
2740,乌江,60803000,武隆,1785808800000,4,176.310
2480,乌江,60803000,武隆,1785852000000,5,175.570
2660,乌江,60803000,武隆,1785895200000,5,176.080
2380,乌江,60803000,武隆,1785938400000,4,175.290
2070,乌江,60803000,武隆,1785981600000,4,174.380
2340,乌江,60803000,武隆,1786024800000,4,175.160
2390,乌江,60803000,武隆,1786068000000,4,175.320
2210,乌江,60803000,武隆,1786107600000,5,174.800
1590,乌江,60803000,武隆,1786150800000,4,172.930
1000,乌江,60803000,武隆,1786190400000,5,171.070
1240,乌江,60803000,武隆,1786240800000,4,171.820
1460,乌江,60803000,武隆,1786276800000,5,172.540
1920,乌江,60803000,武隆,1786327200000,4,173.940
1370,乌江,60803000,武隆,1786366800000,4,172.230
681,乌江,60803000,武隆,1786413600000,4,170.040
1650,乌江,60803000,武隆,1786453200000,5,173.120
1080,乌江,60803000,武隆,1786500000000,4,171.330
1950,乌江,60803000,武隆,1786539600000,5,174.030
711,乌江,60803000,武隆,1786586400000,4,170.140
1480,乌江,60803000,武隆,1786626000000,5,172.590
1250,乌江,60803000,武隆,1786672800000,4,171.870
1280,乌江,60803000,武隆,1786712400000,5,171.970
1280,乌江,60803000,武隆,1786755600000,4,171.950
844,乌江,60803000,武隆,1786795200000,5,170.570
1520,乌江,60803000,武隆,1786842000000,5,172.730
1590,乌江,60803000,武隆,1786881600000,5,172.950
897,乌江,60803000,武隆,1786928400000,5,170.740
2200,乌江,60803000,武隆,1786968000000,5,174.770
518,乌江,60803000,武隆,1787014800000,4,169.480
991,乌江,60803000,武隆,1787054400000,5,171.040
1610,乌江,60803000,武隆,1787101200000,4,172.990
838,乌江,60803000,武隆,1787140800000,5,170.550
1530,乌江,60803000,武隆,1787187600000,4,172.740
1130,乌江,60803000,武隆,1787227200000,5,171.490
963,乌江,60803000,武隆,1787274000000,4,170.950
779,乌江,60803000,武隆,1787313600000,4,170.360
742,乌江,60803000,武隆,1787360400000,4,170.240
732,乌江,60803000,武隆,1787400000000,4,170.210
767,乌江,60803000,武隆,1787446800000,4,170.320
1370,乌江,60803000,武隆,1787486400000,4,172.260
807,乌江,60803000,武隆,1787533200000,4,170.450
2360,乌江,60803000,武隆,1787572800000,5,175.220
1510,乌江,60803000,武隆,1787619600000,5,172.690
2030,乌江,60803000,武隆,1787659200000,5,174.260
985,乌江,60803000,武隆,1787706000000,4,171.020
1660,乌江,60803000,武隆,1787745600000,5,173.140
1400,乌江,60803000,武隆,1787817600000,5,172.340
1650,乌江,60803000,武隆,1787864400000,4,173.130
1310,乌江,60803000,武隆,1787911200000,5,172.070
2160,乌江,60803000,武隆,1787950800000,4,174.660
1130,乌江,60803000,武隆,1787983200000,4,171.480
510,乌江,60803000,武隆,1788019200000,4,169.450
