q,rvnm,stcd,stnm,tm,wptn,z
12000,洞庭湖湖口,61512000,七里山,1788199200000,6,26.780
12200,洞庭湖湖口,61512000,七里山,1788235200000,6,26.840
13000,洞庭湖湖口,61512000,七里山,1788278400000,5,26.910
12800,洞庭湖湖口,61512000,七里山,1788318000000,5,26.990
12900,洞庭湖湖口,61512000,七里山,1788364800000,5,27.020
12800,洞庭湖湖口,61512000,七里山,1788404400000,6,27.000
12700,洞庭湖湖口,61512000,七里山,1788451200000,4,26.960
12700,洞庭湖湖口,61512000,七里山,1788490800000,4,26.890
12800,洞庭湖湖口,61512000,七里山,1788534000000,4,26.900
13700,洞庭湖湖口,61512000,七里山,1788577200000,6,26.920
14000,洞庭湖湖口,61512000,七里山,1788616800000,5,26.980
14100,洞庭湖湖口,61512000,七里山,1788663600000,6,27.010
14200,洞庭湖湖口,61512000,七里山,1788706800000,6,27.030
14800,洞庭湖湖口,61512000,七里山,1788750000000,6,27.000
14300,洞庭湖湖口,61512000,七里山,1788800400000,6,26.890
13800,洞庭湖湖口,61512000,七里山,1788836400000,4,26.770
13000,洞庭湖湖口,61512000,七里山,1788883200000,6,26.570
10500,洞庭湖湖口,61512000,七里山,1789009320000,6,25.930
9530,洞庭湖湖口,61512000,七里山,1789095600000,4,25.560
8790,洞庭湖湖口,61512000,七里山,1789182000000,4,25.090
7330,洞庭湖湖口,61512000,七里山,1789358400000,4,24.250
6310,洞庭湖湖口,61512000,七里山,1789444800000,4,23.830
5840,洞庭湖湖口,61512000,七里山,1789531200000,4,23.570
5230,洞庭湖湖口,61512000,七里山,1789617600000,4,23.320
5210,洞庭湖湖口,61512000,七里山,1789700400000,4,23.140
