rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1788199200000,4,163.900
汉江,61802500,龙王庙,1788235200000,4,163.880
汉江,61802500,龙王庙,1788278400000,5,163.870
汉江,61802500,龙王庙,1788318000000,5,163.850
汉江,61802500,龙王庙,1788364800000,5,163.820
汉江,61802500,龙王庙,1788404400000,6,163.810
汉江,61802500,龙王庙,1788451200000,6,163.790
汉江,61802500,龙王庙,1788490800000,6,163.780
汉江,61802500,龙王庙,1788534000000,5,163.770
汉江,61802500,龙王庙,1788577200000,6,163.780
汉江,61802500,龙王庙,1788616800000,5,163.770
汉江,61802500,龙王庙,1788663600000,6,163.760
汉江,61802500,龙王庙,1788706800000,5,163.760
汉江,61802500,龙王庙,1788750000000,6,163.750
汉江,61802500,龙王庙,1788800400000,4,163.740
汉江,61802500,龙王庙,1788836400000,6,163.750
汉江,61802500,龙王庙,1788883200000,5,163.730
汉江,61802500,龙王庙,1789009200000,5,163.760
汉江,61802500,龙王庙,1789095600000,5,163.740
汉江,61802500,龙王庙,1789182000000,5,163.730
汉江,61802500,龙王庙,1789358400000,6,163.650
汉江,61802500,龙王庙,1789444800000,6,163.610
汉江,61802500,龙王庙,1789531200000,6,163.570
汉江,61802500,龙王庙,1789617600000,5,163.570
汉江,61802500,龙王庙,1789700400000,6,163.570
