q,rvnm,stcd,stnm,tm,wptn,z
25800,长江干流,60112200,汉口,1788199200000,5,20.180
26100,长江干流,60112200,汉口,1788235200000,4,20.230
26400,长江干流,60112200,汉口,1788278400000,5,20.300
26400,长江干流,60112200,汉口,1788318000000,6,20.360
26500,长江干流,60112200,汉口,1788364800000,5,20.440
26800,长江干流,60112200,汉口,1788404400000,6,20.510
26500,长江干流,60112200,汉口,1788451200000,5,20.550
26400,长江干流,60112200,汉口,1788490800000,6,20.570
25900,长江干流,60112200,汉口,1788534000000,4,20.550
26000,长江干流,60112200,汉口,1788577200000,6,20.570
25900,长江干流,60112200,汉口,1788616800000,6,20.570
26000,长江干流,60112200,汉口,1788663600000,6,20.610
25900,长江干流,60112200,汉口,1788706800000,6,20.650
26000,长江干流,60112200,汉口,1788750000000,6,20.700
25700,长江干流,60112200,汉口,1788800400000,6,20.730
25500,长江干流,60112200,汉口,1788836400000,6,20.730
25000,长江干流,60112200,汉口,1788883200000,6,20.690
23100,长江干流,60112200,汉口,1789009200000,4,20.250
22400,长江干流,60112200,汉口,1789095600000,4,19.960
21100,长江干流,60112200,汉口,1789182000000,4,19.630
18900,长江干流,60112200,汉口,1789358400000,4,18.840
18700,长江干流,60112200,汉口,1789444800000,4,18.470
17900,长江干流,60112200,汉口,1789531200000,4,18.110
17400,长江干流,60112200,汉口,1789617600000,4,17.810
17200,长江干流,60112200,汉口,1789700400000,4,17.600
17000,长江干流,60112200,汉口,1789786800000,4,17.340
