q,rvnm,stcd,stnm,tm,wptn,z
25500,长江干流,60113400,九江,1788199200000,5,14.440
26100,长江干流,60113400,九江,1788235200000,4,14.510
25600,长江干流,60113400,九江,1788278400000,5,14.540
25700,长江干流,60113400,九江,1788318000000,6,14.640
25100,长江干流,60113400,九江,1788364800000,5,14.740
25300,长江干流,60113400,九江,1788404400000,5,14.830
25800,长江干流,60113400,九江,1788451200000,6,14.940
25700,长江干流,60113400,九江,1788490800000,6,14.990
25200,长江干流,60113400,九江,1788534000000,5,15.050
24500,长江干流,60113400,九江,1788577200000,5,15.170
24800,长江干流,60113400,九江,1788616800000,5,15.250
24100,长江干流,60113400,九江,1788663600000,5,15.340
24300,长江干流,60113400,九江,1788706800000,5,15.450
24300,长江干流,60113400,九江,1788750000000,5,15.530
24700,长江干流,60113400,九江,1788800400000,6,15.630
25300,长江干流,60113400,九江,1788836400000,6,15.660
25800,长江干流,60113400,九江,1788883200000,4,15.630
24800,长江干流,60113400,九江,1789009200000,6,15.370
23200,长江干流,60113400,九江,1789095600000,4,15.210
23000,长江干流,60113400,九江,1789182000000,4,14.990
21100,长江干流,60113400,九江,1789358400000,4,14.430
20000,长江干流,60113400,九江,1789444800000,4,14.120
19000,长江干流,60113400,九江,1789531200000,4,13.820
18800,长江干流,60113400,九江,1789617600000,4,13.470
18400,长江干流,60113400,九江,1789700400000,4,13.090
18300,长江干流,60113400,九江,1789786800000,4,12.750
17500,长江干流,60113400,九江,1789963200000,4,12.020
17400,长江干流,60113400,九江,1790049600000,4,11.680
17600,长江干流,60113400,九江,1790136000000,4,11.420
17800,长江干流,60113400,九江,1790222400000,4,11.240
16900,长江干流,60113400,九江,1790308800000,4,11.130
