oq,q,rvnm,stcd,stnm,tm,wptn,z
1660,2330,汉江,61802700,丹江口水库,1788199200000,4,163.900
469,524,汉江,61802700,丹江口水库,1788235200000,4,163.880
1190,1850,汉江,61802700,丹江口水库,1788278400000,5,163.870
456,523,汉江,61802700,丹江口水库,1788318000000,5,163.850
1640,725,汉江,61802700,丹江口水库,1788361200000,4,163.810
445,596,汉江,61802700,丹江口水库,1788404400000,6,163.810
1660,1140,汉江,61802700,丹江口水库,1788447600000,6,163.790
456,421,汉江,61802700,丹江口水库,1788490800000,6,163.780
1200,1930,汉江,61802700,丹江口水库,1788534000000,5,163.770
458,1310,汉江,61802700,丹江口水库,1788577200000,6,163.780
1250,2360,汉江,61802700,丹江口水库,1788616800000,5,163.770
464,752,汉江,61802700,丹江口水库,1788663600000,6,163.760
568,1790,汉江,61802700,丹江口水库,1788703200000,5,163.750
462,483,汉江,61802700,丹江口水库,1788750000000,6,163.750
1590,1460,汉江,61802700,丹江口水库,1788800400000,4,163.740
457,105,汉江,61802700,丹江口水库,1788836400000,6,163.750
460,793,汉江,61802700,丹江口水库,1788883200000,5,163.730
456,291,汉江,61802700,丹江口水库,1789009200000,5,163.760
442,227,汉江,61802700,丹江口水库,1789095600000,5,163.740
437,939,汉江,61802700,丹江口水库,1789182000000,5,163.730
736,177,汉江,61802700,丹江口水库,1789358400000,6,163.650
447,351,汉江,61802700,丹江口水库,1789444800000,6,163.610
701,842,汉江,61802700,丹江口水库,1789531200000,6,163.570
844,357,汉江,61802700,丹江口水库,1789617600000,5,163.570
732,949,汉江,61802700,丹江口水库,1789700400000,6,163.570
449,764,汉江,61802700,丹江口水库,1789786800000,4,163.640
493,2040,汉江,61802700,丹江口水库,1789963200000,5,163.910
1210,1470,汉江,61802700,丹江口水库,1790046000000,6,164.020
439,2000,汉江,61802700,丹江口水库,1790132400000,5,164.130
444,2120,汉江,61802700,丹江口水库,1790218800000,6,164.230
