q,rvnm,stcd,stnm,tm,wptn,z
13300,长江干流,60107300,宜昌,1788199200000,4,42.790
12200,长江干流,60107300,宜昌,1788235200000,4,42.250
14000,长江干流,60107300,宜昌,1788278400000,4,42.880
11700,长江干流,60107300,宜昌,1788318000000,4,42.140
12500,长江干流,60107300,宜昌,1788364800000,4,42.320
11400,长江干流,60107300,宜昌,1788404400000,4,42.040
11500,长江干流,60107300,宜昌,1788451200000,4,42.060
11000,长江干流,60107300,宜昌,1788490800000,4,41.730
13000,长江干流,60107300,宜昌,1788534000000,4,42.470
9910,长江干流,60107300,宜昌,1788577200000,4,41.320
12200,长江干流,60107300,宜昌,1788616800000,5,42.030
9330,长江干流,60107300,宜昌,1788663600000,4,41.070
11600,长江干流,60107300,宜昌,1788706800000,4,41.870
9410,长江干流,60107300,宜昌,1788750000000,4,41.140
9910,长江干流,60107300,宜昌,1788800400000,4,41.370
9290,长江干流,60107300,宜昌,1788836400000,4,41.000
10800,长江干流,60107300,宜昌,1788883200000,4,41.600
8910,长江干流,60107300,宜昌,1789009200000,4,40.860
7990,长江干流,60107300,宜昌,1789095600000,4,40.470
8430,长江干流,60107300,宜昌,1789182000000,4,40.610
7770,长江干流,60107300,宜昌,1789358400000,4,40.370
8250,长江干流,60107300,宜昌,1789444800000,4,40.520
8450,长江干流,60107300,宜昌,1789531200000,4,40.680
8610,长江干流,60107300,宜昌,1789617600000,4,40.720
9290,长江干流,60107300,宜昌,1789700400000,5,40.950
9120,长江干流,60107300,宜昌,1789786800000,4,40.950
10600,长江干流,60107300,宜昌,1789963200000,4,41.650
11200,长江干流,60107300,宜昌,1790049600000,4,41.820
9460,长江干流,60107300,宜昌,1790136000000,4,41.210
9930,长江干流,60107300,宜昌,1790222400000,5,41.260
7640,长江干流,60107300,宜昌,1790308800000,4,40.370
7510,长江干流,60107300,宜昌,1790395200000,4,40.340
